id,crop_id,zone_id,created_at,updated_at,deleted_at
27,44,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.714-05,
28,44,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.716-05,
29,43,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.717-05,
30,43,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.718-05,
31,43,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.719-05,
32,43,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.72-05,
33,42,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.721-05,
34,42,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.722-05,
35,42,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.723-05,
36,42,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.724-05,
37,41,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.725-05,
38,41,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.726-05,
39,29,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.728-05,
40,40,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.729-05,
41,40,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.73-05,
42,40,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.731-05,
43,40,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.732-05,
44,28,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.734-05,
45,28,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.735-05,
46,28,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.736-05,
48,26,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.737-05,
50,26,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.738-05,
52,26,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.739-05,
54,26,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.74-05,
55,8,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.741-05,
56,8,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.743-05,
57,8,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.744-05,
58,8,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.745-05,
59,25,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.746-05,
60,25,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.747-05,
61,25,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.748-05,
62,25,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.749-05,
63,24,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.75-05,
64,24,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.751-05,
65,23,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.752-05,
66,23,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.753-05,
67,39,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.754-05,
68,39,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.755-05,
69,39,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.756-05,
70,39,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.757-05,
71,38,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.758-05,
72,38,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.762-05,
73,38,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.763-05,
74,38,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.764-05,
75,11,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.765-05,
76,11,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.766-05,
77,7,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.767-05,
78,7,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.768-05,
79,7,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.769-05,
80,7,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.77-05,
81,6,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.77-05,
82,6,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.771-05,
83,5,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.772-05,
84,5,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.772-05,
85,4,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.773-05,
